Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1742.0793996341863
FDW14,OUT017,1499.9869828712465
NCN55,OUT010,2282.7319027787307
FDQ58,OUT017,2463.388687048687
FDY38,OUT027,5906.143720019849
FDH56,OUT046,1818.966541736911
FDL48,OUT018,719.0037471872906
FDC48,OUT027,2269.361264567585
FDN33,OUT045,1597.5141161001466
FDA36,OUT017,2912.627944311804
FDT44,OUT017,1944.3783098628235
FDQ56,OUT045,1452.0180633275877
NCC54,OUT019,1216.6160446301828
FDU11,OUT049,1938.9851153291743
DRL59,OUT013,931.4501698975041
FDM24,OUT049,2343.863484222621
FDI57,OUT045,3054.267300853066
DRC12,OUT018,2874.5599480289684
NCM42,OUT027,2949.179841375366
FDA46,OUT010,1826.4652901869779
FDA31,OUT013,2816.69952587441
NCJ31,OUT035,3652.5626323245506
FDG52,OUT046,907.7430479153786
NCL19,OUT019,629.9824686311572
FDS10,OUT035,2811.207505230452
FDX22,OUT010,1564.6136949392262
NCF19,OUT035,933.496578073222
NCE06,OUT046,2387.897971827916
DRC27,OUT046,3500.516402842564
FDE21,OUT035,1913.590252410133
NCR42,OUT019,-29.533626475167694
FDX51,OUT018,3003.693676845705
NCR06,OUT018,850.075732339016
FDU31,OUT027,5514.872893988457
FDU59,OUT017,2588.462637287744
FDR03,OUT027,5214.453486031155
FDS49,OUT027,2252.8644097489887
FDD48,OUT010,956.2494575083642
NCF18,OUT017,2992.2478680997015
NCD43,OUT027,2799.720426130548
NCD54,OUT018,1925.6110058194242
FDY19,OUT010,431.5536399781249
NCY54,OUT017,2737.089582808992
NCL19,OUT018,2295.40080621548
FDP23,OUT010,1632.5060722838089
FDC26,OUT013,1859.7659228605567
FDR14,OUT010,413.4967889054883
NCS41,OUT035,2861.8917583450034
FDF41,OUT035,3784.140037096853
FDU34,OUT046,1913.2440030912016
DRH11,OUT046,1015.0658251656132
FDM03,OUT013,1777.4776863988577
FDS31,OUT017,2844.59170074189
FDJ20,OUT017,1984.3605466025608
FDV44,OUT027,4825.556991435946
FDG02,OUT049,2855.393757048256
FDA09,OUT013,2899.0646151242445
FDT04,OUT013,720.158040292139
FDL58,OUT019,1353.219625057386
FDE52,OUT045,1530.6394360563636
FDW12,OUT035,2309.1233882977854
FDL51,OUT017,3307.109845234996
NCY42,OUT027,3700.7934521504335
FDR07,OUT017,1616.103312856568
FDN40,OUT045,2402.836350830942
FDB35,OUT027,2490.6774463970305
FDA22,OUT017,2617.765706818801
NCL06,OUT046,3735.0051244234646
FDI35,OUT013,2923.176327434978
NCW42,OUT045,3385.6805485424647
NCX06,OUT049,2736.799168402709
FDC37,OUT027,2913.6266024499682
FDZ14,OUT018,1872.293193321835
DRG49,OUT049,3621.1972750937834
NCG06,OUT045,3882.2630752441974
DRC36,OUT045,2716.7180020242704
FDV21,OUT019,525.4439904598373
FDB53,OUT046,2236.3315425298806
DRP47,OUT019,1288.5068102110065
FDA14,OUT013,2364.9916462511787
DRC24,OUT035,2418.217091951825
FDW21,OUT018,1397.0918175449438
NCH29,OUT046,1543.5199385194192
FDU58,OUT013,3025.022822355107
FDY27,OUT017,2782.2442679385695
FDV56,OUT035,1801.669104689544
FDT59,OUT046,3314.809217370005
FDB23,OUT046,3233.756753045569
FDR49,OUT045,904.528787147297
FDB03,OUT010,2015.9716388102515
FDN39,OUT045,2589.0103782627307
FDX02,OUT027,5642.839861072951
FDQ16,OUT027,2904.0675440878977
FDU35,OUT018,1462.268636290512
NCT29,OUT013,2014.9371631546132
FDZ27,OUT046,905.3606405501084
FDN57,OUT017,2254.016538313566
FDA03,OUT018,2160.4155611026035
FDZ36,OUT045,2871.638198432067
NCU05,OUT013,1384.7186116889156
FDT39,OUT018,2198.113106301682
FDK60,OUT017,1642.8334709942646
FDZ25,OUT017,2673.7082537327224
FDG12,OUT046,1874.3989819795281
DRB01,OUT019,924.3143384970326
NCC43,OUT027,6294.978481997716
FDX13,OUT019,1265.603165742518
FDM22,OUT049,1020.2836447175073
FDJ03,OUT027,1505.0639752604302
FDU14,OUT018,3713.8285512037405
FDB33,OUT010,1165.1565358585453
FDP27,OUT046,2782.4432163736083
FDO38,OUT010,383.1299776553424
FDE28,OUT027,5854.782182392348
FDO27,OUT035,1597.788810334367
DRL23,OUT027,2887.508956651961
FDS28,OUT046,1009.1595278011619
FDX24,OUT013,1553.4345687940486
FDZ02,OUT035,1615.0986712915646
FDL46,OUT045,1891.8532308224367
FDS60,OUT027,4589.244532255572
NCO06,OUT017,717.021195965955
FDO16,OUT035,1441.647842484577
FDC60,OUT049,1467.859237372602
FDA48,OUT018,3423.689438325689
FDZ36,OUT027,4771.0708336384305
FDK27,OUT045,1964.121741050803
FDW23,OUT018,534.9466593452389
FDM14,OUT018,1824.407688437595
FDM14,OUT013,1800.5973017755352
FDW60,OUT018,2523.3215892544613
FDE21,OUT013,1927.435528812356
NCM42,OUT035,1796.8211707591895
FDY59,OUT010,565.4826007788388
DRI49,OUT049,1403.7784969484335
FDT28,OUT019,683.3612992678497
FDQ22,OUT018,719.2136701743875
FDR60,OUT049,1338.5358735497016
FDC50,OUT019,345.03218037520037
FDV24,OUT013,2453.5596611241253
DRF48,OUT010,1180.3962765669448
FDQ47,OUT046,750.5267795806685
DRN36,OUT049,1620.1538542378782
